Name,Province,Website,Address,City,Region,,,,REGION - Alberta,
Canadian Islamic Center - Al Rashid Mosque (Masjid),Alberta,http://www.alrashidonline.com,13070 113 St NW,Edmonton,Edmonton Division,,,,Sherwood Park,Strathcona County
Cold lake mosque,Alberta,,5003 50 Ave,Cold Lake,Cold Lake,,,,Wetaskiwin / Leduc,Wetaskiwin / Leduc
Darul-Hadith Edmonton (Ahle-Hadith Society of Canada),Alberta,https://ahlehadithcanada.org/edmonton/,7708a Wagner Rd NW,Edmonton,Edmonton Division,,,,Fort McMurray,Wood Buffalo
Downtown Calgary Mosque (IISC),Alberta,https://www.iisc.ca/,1009 7 Ave SW,Calgary,Calgary Division,,,,Edson,Yellowhead
Fairview Southeast Mosque (IISC),Alberta,https://www.iisc.ca/,230 78 Ave SE,Calgary,Calgary Division,,,,REGION - British Columbia,
Fort Masjid,Alberta,https://www.fortmasjid.ca/PrayerTimes,"10203 100 Ave (Basement unit), Fort Saskatchewan, AB T8L 1Y7, Canada",Fort Saskatchewan,Edmonton Division,,,,Victoria,Capital Regional District
Fort McMurray Islamic Centre,Alberta,https://markazulislam.com/,"109 Abraham Dr, Fort McMurray, AB T9H 0J1",Fort McMurray,Wood Buffalo,,,,Williams Lake,Cariboo
Hazrat Bilal Islamic Center,Alberta,https://hbic.ca/,20 Saddlestone Dr,Calgary,Calgary Division,,,,Kelowna,Central Okanagan
ICNA Edmonton / Al-Falah Center,Alberta,https://alfalahcenter.ca/,2401 47 St NW,Edmonton,Edmonton Division,,,,Campbell River,Comox Valley
Imam Azam Islamic Centre,Alberta,https://jamiaimameazam.com/,4821 Westwinds Dr NE,Calgary,Calgary Division,,,,Abbotsford,Fraser Valley
Islamic Association of Grande Prairie,Alberta,https://masjedgp.ca/,"10117 101 Ave, Grande Prairie, AB T8V 0Y2",Grande Prairie,Grande Prairie,,,,Chilliwack,Fraser Valley
Islamic Centre Of South Calgary,Alberta,https://icsouthcalgary.com/,180 Legacy Main St SE Unit 110 (also 539 Queensland Dr SE),Calgary,Calgary Division,,,,Prince George,Fraser–Fort George
Islamic Information Society of Calgary (IISC),Alberta,https://www.iisc.ca/,4128 6 St NE,Calgary,Calgary Division,,,,Castlegar,Kootenay Boundary
Islamic Society of Edson,Alberta,,4831 4 Ave,Edson,Yellowhead,,,,Burnaby,Metro Vancouver
Jamia Riyadhul Jannah (JRJ Mosque),Alberta,https://jrjedmonton.org/,6650 4 Ave SW (also 331 71 St SW),Edmonton,Edmonton Division,,,,Delta,Metro Vancouver
Leduc Islamic Center,Alberta,https://www.leducislamicassociation.com/,5210 50 Ave,Leduc,Leduc,,,,Langley,Metro Vancouver
Lethbridge Islamic Centre,Alberta,https://lethbridgemuslims.ca/,"207 13 St N, Lethbridge, AB T1H 2R6",Lethbridge,Lethbridge,,,,Maple Ridge,Metro Vancouver
Markaz ul Islam (mosque),Alberta,https://markaz.ca/,7907 36 Ave NW,Edmonton,Edmonton Division,,,,North Vancouver,Metro Vancouver
Markaz-Ul-Islam,Alberta,https://markazulislam.com/,9904 Gordon Ave (also 109 Abraham Dr),Fort McMurray,Wood Buffalo,,,,Port Coquitlam,Metro Vancouver
Maryam Masjid (IANWC),Alberta,https://www.ianwc.ca/,183 Beddington Dr NE,Calgary,Calgary Division,,,,Port Moody,Metro Vancouver
Masjid Al Farooq,Alberta,https://masjidalfarooq.ca/,"345 Woodvale Rd W, Edmonton, AB T6L 3Z7",Edmonton,Edmonton Division,,,,Richmond,Metro Vancouver
Masjid Al Fatima,Alberta,https://masjidalfatima.com/,"9275 25 Ave NW, Edmonton, AB T6N 1N2",Edmonton,Edmonton Division,,,,Surrey,Metro Vancouver
Masjid Al Omari,Alberta,https://www.alomarimasjid.ca/,"6504 137 Ave NW, Edmonton, AB T5A 1R8",Edmonton,Edmonton Division,,,,Vancouver,Metro Vancouver
Masjid Al-Imam Al-Shafie,Alberta,,11748 95 St,Edmonton,Edmonton Division,,,,White Rock,Metro Vancouver
Masjid Al-Salaam (Clareview Mosque),Alberta,https://masjidalsalaam.ca/,550 Clareview Rd NW #120,Edmonton,Edmonton Division,,,,Nanaimo,Nanaimo
Masjid Ayesha,Alberta,https://masjidayesha.ca/,1741 170 St SW,Edmonton,Edmonton Division,,,,Vernon,North Okanagan
Masjid Bilal Da'wa Center,Alberta,Masjid bilal,"4527 6a St NE, Calgary, AB T2E 4B2",Calgary,Calgary Division,,,,Fort St. John,Peace River–Liard
Masjid Dar Al Sunnah,Alberta,https://daralsunnah.com/,"9228 144 Ave NW, Edmonton, AB T5E 3W3",Edmonton,Edmonton Division,,,,REGION - Manitoba,
Masjid Ibn Masood (Darul Uloom Alberta),Alberta,https://ibnmasood.ca/,"937 Fir St #116b, Sherwood Park, AB T8A 4N6",Sherwood Park,Strathcona County,,,,Brandon,Brandon Region
Masjid In the Park,Alberta,https://www.masjidinthepark.org/,125 Broadview Dr,Sherwood Park,Strathcona County,,,,Morden,Pembina Valley
MCE Mosque,Alberta,https://www.mcemosque.com/,10721 86 Ave NW,Edmonton,Edmonton Division,,,,Winnipeg,Winnipeg Region
Muslim Association of Canada (MAC) - Edmonton,Alberta,https://centres.macnet.ca/rahmamosque/,"6104 172 St NW, Edmonton, AB T6M 1E3",Edmonton,Edmonton Division,,,,REGION - New Brunswick,
Muslim Association of St. Albert,Alberta,https://www.stalbertmosque.com/,"315 Carleton Dr Unit 20, St. Albert, AB T8N 7L1",St. Albert,St. Albert,,,,Campbellton,Campbellton Region
Omar Ibn Al-Khattab Centre (OIAC),Alberta,https://www.oiacedmonton.ca/,6005 103A St NW (also 110 1011 Parsons Rd SW),Edmonton,Edmonton Division,,,,Miramichi,Northumberland County
Peace Country Islamic Center,Alberta,,9714 90 Ave,Peace River,Northern Sunrise,,,,Saint John,Saint John Region
Quba Mosque : Jama Mosque,Alberta,https://masjidquba.ca/,10210 118 Ave NW,Edmonton,Edmonton Division,,,,Moncton,Westmorland County
Ranchland Musallah (IANWC),Alberta,https://www.ianwc.ca/,7750 Ranchview Dr NW #23,Calgary,Calgary Division,,,,Fredericton,York County
Red Deer Islamic Centre,Alberta,https://rdic.ad-din.site/,"195 Douglas Ave, Red Deer, AB T4R 2G2",Red Deer,Red Deer,,,,REGION - Newfoundland & Labrador,
Sahaba Mosque,Alberta,https://sahabamosque.com/prayer.html,9216 105 Ave NW,Edmonton,Edmonton Division,,,,Gander,Central Newfoundland
Salam Mosque,Alberta,,"Unit 111 4930 55th Ave Drayton Valley, Alberta T7A 1W2, Drayton Valley, AB, Canada, T7A1W2",Drayton Valley,Edmonton Division,,,,St. John’s,St. John’s Metropolitan Area
Stettler Islamic Center,Alberta,https://timesofsalah.com/canada/alberta/stettler/stettler-islamic-center,"39004 Range Rd 193, Stettler, AB T0C 2L0",Stettler,Stettler,,,,REGION - Nova Scotia,
Vegreville Muslim Association,Alberta,https://vegrevillemuslims.com/,4932 51 Ave,Vegreville,Minburn,,,,Antigonish,Antigonish County
Wetaskiwin & Leduc Muslim Asso,Alberta,https://www.leducislamicassociation.com/about,"5402 47a Ave, Wetaskiwin, AB T9A 0L9",Wetaskiwin / Leduc,Wetaskiwin / Leduc,,,,Sydney,Cape Breton Region
Abbotsford Islamic Center,British Columbia,https://org.thebcma.com/abbotsford,1980 Salton Road (also 30640 Blueridge Dr),Abbotsford,Fraser Valley,,,,Bedford,Halifax Region
Abu Bakr Islamic Centre,British Columbia,https://www.abubakr.ca/,7375 144th Street,Surrey,Metro Vancouver,,,,Dartmouth,Halifax Region
Ajyal Islamic Centre,British Columbia,https://www.ajyal.ca/,181 Keefer Pl #202,Vancouver,Metro Vancouver,,,,Halifax,Halifax Region
Al Iman Islamic Centre,British Columbia,https://al-imancenter.com/,"13478 78 Ave Unit #18, Surrey, BC V3W 8J6",Surrey,Metro Vancouver,,,,Wolfville,Kings County
Al-Ahad Islamic Center,British Columbia,https://dawahbc.ca/,"7536 130 St Unit 133, Surrey, BC V3W 1H8",Surrey,Metro Vancouver,,,,Trenton,Pictou County
Ar-Rahman Mosque,British Columbia,https://northvanmasjid.ca/,1398 W 15th St,North Vancouver,Metro Vancouver,,,,REGION - Nunavut,
Castlegar Mosque,British Columbia,,2409 6th Ave,Castlegar,Kootenay Boundary,,,,Iqaluit,Iqaluit Region
Chilliwack Islamic Center,British Columbia,https://thebcma.com/,45795 Victoria Ave (also 45845 Yale Rd W),Chilliwack,Fraser Valley,,,,REGION - Prince Edward Island,
Cloverdale Islamic Society,British Columbia,https://cloverdaleislamiccenter.com/,"17665 66A Ave Unit 208, Surrey, BC V3S 2A7",Surrey,Metro Vancouver,,,,Charlottetown,Charlottetown Region
Dar Al-Ihsan Islamic Center,British Columbia,https://muslimyv.ca/,"2504 Government St #206, Victoria, BC V8T 4P7",Victoria,Capital Regional District,,,,REGION - Ontario,
Faizan-e-Madina Islamic Center,British Columbia,https://dawateislamicanada.net/about-us,7062 134 St,Surrey,Metro Vancouver,,,,Shelburne,Dufferin County
Fiji Islamic Center,British Columbia,https://www.awqat.net/masjid/fiji-islamic-centre,12988 84 Ave,Surrey,Metro Vancouver,,,,Ajax,Durham Region
Fleetwood Islamic Center,British Columbia,https://fleetwoodislamiccentre.com/,8462 162 St #209,Surrey,Metro Vancouver,,,,Clarington,Durham Region
Guildford Islamic Cultural Center (GICC),British Columbia,https://giccmasjid.org/,15290 103A Ave #101,Surrey,Metro Vancouver,,,,Oshawa,Durham Region
Islamic Centre of Campbell River,British Columbia,https://islamiccentrecampb.wixsite.com/iccr,"437 10 Ave, Campbell River, BC V9W 4E4",Campbell River,Comox Valley,,,,Pickering,Durham Region
Islamic Centre of Nanaimo,British Columbia,,905 Hecate Street,Nanaimo,Nanaimo,,,,Whitby,Durham Region
Islamic Centre of Port Moody(Al-Ihsan Islami Center),British Columbia,https://www.awqat.net/masjid/al-ihsan-islamic-centre,"2701B Esplanade Ave, Port Moody, BC V3H 3P4",Port Moody,Metro Vancouver,,,,LaSalle,Essex County
Jamia Masjid Aulia Allah,British Columbia,https://www.iawc.ca/,12658 100 Ave,Surrey,Metro Vancouver,,,,Tecumseh,Essex County
Jamia Riyadhul Jannah,British Columbia,http://riyadhuljannahmosque.com/,27079 River Rd,Maple Ridge,Metro Vancouver,,,,Windsor,Essex County
Kelowna Islamic Center,British Columbia,http://kelowna.thebcma.com/,1120 Hwy 33,Kelowna,Central Okanagan,,,,Burlington,Halton Region
Marpole musalla,British Columbia,https://nwmis.org/,8879 Selkirk St,Vancouver,Metro Vancouver,,,,Georgetown,Halton Region
Masjid Al-Iman,British Columbia,https://org.thebcma.com/victoria,"2218 Quadra St, Victoria, BC V8T 4C7",Victoria,Capital Regional District,,,,Milton,Halton Region
Masjid Al-Noor: Mosque of Lights,British Columbia,https://www.awqat.net/masjid/masjid-al-noor,"13526 98a Ave, Surrey, BC V3T 1C8",Surrey,Metro Vancouver,,,,Oakville,Halton Region
Masjid Al-Salaam,British Columbia,http://bcmaburnaby.org/,5060 Canada Way,Burnaby,Metro Vancouver,,,,Thorold,Niagara Region
Masjid Alhidayah - Islamic Society of BC,British Columbia,https://theisbc.ca/,2626 Kingsway Ave,Port Coquitlam,Metro Vancouver,,,,Brampton,Peel Region
Masjid Alsahaba (The companion Mosque),British Columbia,https://masjidalsahaba.ca/,"5768 203 St, Langley, BC V3A 1W3",Langley,Metro Vancouver,,,,Mississauga,Peel Region
Masjid Anwar-E-Madina,British Columbia,https://anwaremadina.ca/,"13560 105A Ave, Surrey, BC V3T 2A9",Surrey,Metro Vancouver,,,,Bradford,Simcoe County
Masjid Omar Al-Farooq,British Columbia,https://www.masjidomar.ca/,"1659 E 10th Ave, Vancouver, BC V5N 1X6",Vancouver,Metro Vancouver,,,,Downtown Toronto,Toronto
Masjid Ul-Haqq,British Columbia,http://vancouver.thebcma.com/,4162 Welwyn St,Vancouver,Metro Vancouver,,,,East Toronto,Toronto
Masjid-Ur-Rahmah,British Columbia,http://surreyeast.thebcma.com/,13585 62 Ave,Surrey,Metro Vancouver,,,,East York,Toronto
Masjidul Huda,British Columbia,https://www.awqat.net/masjid/masjid-al-huda,14136 Grosvenor Rd,Surrey,Metro Vancouver,,,,Etobicoke,Toronto
Musallah Al Muhajireen Mosque Masjid,British Columbia,https://masjidbox.com/prayer-times/musallah-muhajireen,"2525 McCallum Rd, Abbotsford, BC V2S 3R1",Abbotsford,Fraser Valley,,,,North York,Toronto
Muslim Association of Canada- MAC,British Columbia,https://www.awqat.net/masjid/mac-vancouver,"2122 Kingsway, Vancouver, BC",Vancouver,Metro Vancouver,,,,Scarborough,Toronto
North Delta Islamic Centre,British Columbia,https://org.thebcma.com/delta,11146 84 Ave,Delta,Metro Vancouver,,,,West Toronto,Toronto
Peace River Muslim Association,British Columbia,http://fsjmosque.com/,9715 102 Street,Fort St. John,Peace River–Liard,,,,Cambridge,Waterloo Region
Prince George Islamic Centre,British Columbia,http://pg.thebcma.com/,4668 5th Ave,Prince George,Fraser–Fort George,,,,Waterloo,Waterloo Region
Surrey Jamea Masjid,British Columbia,https://org.thebcma.com/surreydelta,"12407 72 Ave, Surrey, BC V3W 0S9",Surrey,Metro Vancouver,,,,Erin,Wellington County
The BC Muslim Association,British Columbia,https://thebcma.com/,12300 Blundell Rd (Richmond HQ),Richmond,Metro Vancouver,,,,Markham,York Region
UNITED CANADIAN MUSLIM ASSOCIATION VANCOUVER BRANCH,British Columbia,https://ucmavancouver.org/,4676 Marine Dr,Burnaby,Metro Vancouver,,,,Stouffville,York Region
Vancouver Islamic Center,British Columbia,https://vancouverislamiccenter.com/,6436 Fraser St,Vancouver,Metro Vancouver,,,,Vaughan,York Region
Vernon Mosque & Islamic Centre,British Columbia,https://vernonmosquecom.wordpress.com/,3414 17th Ave,Vernon,North Okanagan,,,,Barrie,
White Rock Muslim Association - Musallah,British Columbia,https://whiterockmuslims.com/,"15515 24 Ave #61, Surrey, BC V4A 2J4",White Rock,Metro Vancouver,,,,Brantford,Brant County
Williams Lake Muslim Committee,British Columbia,https://www.theccic.ca/,"1000 Huckvale Pl, Williams Lake, BC V2G 4L2",Williams Lake,Cariboo,,,,Caledonia,
AL-HAQQ MASJID Winnipeg,Manitoba,https://alhaqqcanada.ca/,500 Dovercourt Dr,Winnipeg,Winnipeg Region,,,,Chatham-Kent,
Faizan E Makkah Winnipeg,Manitoba,,509 St Mary’s Rd (also 509 Trans-Canada Hwy),Winnipeg,Winnipeg Region,,,,Collingwood,
ICNA Centre & Mosque,Manitoba,https://www.icnawinnipeg.ca/,"426 St Anne's Rd, Winnipeg, MB R2M 3C6",Winnipeg,Winnipeg Region,,,,Cornwall,
Jamia Masjid Abu Bakr Al-Siddique & Community Centre,Manitoba,,794 Ellice Avenue,Winnipeg,Winnipeg Region,,,,Guelph,
Manitoba Dawah Centre,Manitoba,https://manitobadc.com/,368 Edmonton Street,Winnipeg,Winnipeg Region,,,,Hamilton,
Manitoba Islamic Association (MIA) Grand Mosque,Manitoba,https://www.miaonline.org/,2445 Waverley St,Winnipeg,Winnipeg Region,,,,Hawkesbury,
Manitoba Islamic Centre,Manitoba,https://miaonline.org/,247 Hazelwood Ave,Winnipeg,Winnipeg Region,,,,Kingston,
MASJID BEIT NABALLA,Manitoba,https://bnmosque.org/,"325 Wallasey St, Winnipeg, MB R3J 3C3",Winnipeg,Winnipeg Region,,,,London,
Masjid Bilal - Winnipeg Islamic Centre,Manitoba,https://bilalcentre.ca/,33 Warnock Street,Winnipeg,Winnipeg Region,,,,Central Ottawa,Ottawa
Masjid Zubaidah Tallab,Manitoba,https://sites.google.com/view/masjid-zubaidah-tallab?usp=sharing,335 Thompson Drive,Winnipeg,Winnipeg Region,,,,Sault Ste. Marie,
Morden mosque PVIS,Manitoba,https://pvis.ca/,300A N Railway St,Morden,Pembina Valley,,,,Paris,Brant County
Pakistan Centre Masjid,Manitoba,https://prayersconnect.com/mosques/12417186-pakistan-center-masjid-winnipeg-manitoba-canada,346 Ross Ave,Winnipeg,Winnipeg Region,,,,Sudbury,Northern Ontario
The Brandon Islamic Center,Manitoba,https://bicmanitoba.ca/,834 10th Street,Brandon,Brandon Region,,,,Lincoln,Niagara Region
Winnipeg Rahma Islamic Centre,Manitoba,https://rahmaonline.org/,"574 Watt St, Winnipeg, MB R2K 4K1",Winnipeg,Winnipeg Region,,,,Belleville,Quinte Region
Abu Huraira Mosque msjid,New Brunswick,https://abuhurairahmasjidsj.net/,"370 Somerset St, Saint John, NB E2K 2Y4",Saint John,Saint John Region,,,,Niagara Falls,Niagara Region
Al-nour Center,New Brunswick,https://prayersconnect.com/mosques/12485949-al-nour-center-fredericton-new-brunswick-canada,139 Riverside Dr,Fredericton,York County,,,,Stirling,
Centre communautaire islamique d Edmundston,New Brunswick,https://www.frederictonislamicassociation.com/,130 Lincoln Road,Fredericton,York County,,,,Richmond Hill,York Region
Fredericton Islamic Association - Fredericton Mosque,New Brunswick,https://www.frederictonislamicassociation.com/,130 Lincoln Road,Fredericton,York County,,,,Kitchener,Waterloo Region
Jamia Riyadhul Jannah - JRJ Saint John Mosque,New Brunswick,https://prayersconnect.com/mosques/12426688-jamia-riyadhul-jannah-saint-john-new-brunswick-canada,1100 Rothesay Road,Saint John,Saint John Region,,,,Peterborough,
Masjid NOUR,New Brunswick,Masjid Nour,"88 Roseberry St, Campbellton, NB E3N 5B8",Campbellton,Campbellton Region,,,,Kincardine,Bruce County
Miramichi Islamic Center,New Brunswick,http://miramichimuslim.com/,514 Water Street,Miramichi,Northumberland County,,,,Lindsay,
Moncton Mosque,New Brunswick,https://www.monctonmuslimassociation.com/,99 High Street,Moncton,Westmorland County,,,,West Ottawa,Ottawa
Muslim Association of New Brunswick,New Brunswick,https://manb.ca/,1100 Rothesay Road,Saint John,Saint John Region,,,,East Ottawa,Ottawa
Gander mosque & Islamic centre,Newfoundland and Labrador,,126 Roe Avenue,Gander,Central Newfoundland,,,,South Ottawa,Ottawa
ICNA Newfoundland- Al Falah Islamic Center,Newfoundland and Labrador,https://icnanewfoundland.ca/,47 Smith Avenue,St. John’s,St. John’s Metropolitan Area,,,,North Ottawa,Ottawa
Midnight Sun Mosque (Inuvik Masjid),Northwest Territories,,"29 Wolverine Rd, Inuvik, NT X0E 0A5",Inuvik,Inuvik Region,,,,Trenton,Quinte Region
Cape Breton Muslim Socity Masjid,Nova Scotia,http://capebretonmuslimsociety.com/,70 James Street,Sydney,Cape Breton Region,,,,Cobourg,Northumberland County
Centre for Islamic Development,Nova Scotia,https://www.cidonline.ca/,2728 Robie Street,Halifax,Halifax Region,,,,Welland,Niagara Region
Islamic Association Of Nova Scotia,Nova Scotia,https://www.islamnovascotia.ca/,42 Leaman Drive,Dartmouth,Halifax Region,,,,Aurora,York Region
Nova Scotia Islamic Community Center (NSICC),Nova Scotia,https://nsicc.ca/,"2141 Larry Uteck Blvd, Bedford, NS B4B 1E2",Bedford,Halifax Region,,,,St. Catharines,Niagara Region
Trenton/New Glasgow (Pictou) County Masjid/Mosque.,Nova Scotia,https://pictoucountymasjid.ca/,"25 Forge St, Trenton, NS B0K 1X0",Trenton,Pictou County,,,,Fort Erie,Niagara Region
Ummah Masjid and Community Center of Antigonish (UMCCA),Nova Scotia,https://www.ummahmasjid.ca/,"232 Main St, Antigonish, NS B2G 2C2",Antigonish,Antigonish County,,,,Kemptville,
Ummah Masjid and Community Centre (UMCC),Nova Scotia,https://www.ummahmasjid.ca/,2510 St Matthias St,Halifax,Halifax Region,,,,York,Toronto
United Muslims of Halifax,Nova Scotia,https://unitedmuslimsofhalifax.ca/,12 Hillcrest St,Halifax,Halifax Region,,,,Thorold,Niagara Region
Wolfville Masjid - Ummah Masjid and Community Centre (UMCC),Nova Scotia,https://www.ummahmasjid.ca/wolfville-mosque/,"120 Highland Ave, Wolfville, NS B4P 1Z7",Wolfville,Kings County,,,,Woodstock,Oxford County
Iqaluit Masjid,Nunavut,https://www.iqaluitmasjid.com/,"4121 Road to Nowhere, Iqaluit, NU X0A 0H0",Iqaluit,Iqaluit Region,,,,Newmarket,York Region
1Ummah Education And Resource Center,Ontario,https://1ummah.netlify.app/,"40 New Delhi Dr #110, Markham, ON L3S 0B5, Canada",Markham,York Region,,,,North Bay,Northern Ontario
65 Musalla,Ontario,https://65musalla.com/,"65 Thorncliffe Park Drive, East York, ON M4H 1L2",East York,Toronto,,,,Komoka,Middlesex County
71 Musallah,Ontario,,"71 Thorncliffe Park Dr, East York, ON M4H 1L3, Canada",East York,Toronto,,,,Orangeville,Dufferin County
966 ICNA Masjid,Ontario,https://themasjidapp.org/966icna,"966 Dundas St E, Unit 14, Mississauga, ON L4Y 4H5",Mississauga,Peel Region,,,,Deep River,Renfrew County
Aadam Mosque,Ontario,https://www.masjidadam.com/,"1759 Bloor St, Mississauga, ON L4X 1S7",Mississauga,Peel Region,,,,Owen Sound,Grey County
Abu Huraira Centre,Ontario,https://www.abuhuraira.org/,"270 Yorkland Blvd, North York, ON M2J 5C9",North York,Toronto,,,,Pembroke,Renfrew County
Abu Ubaydah Islamic Centre,Ontario,https://www.abuubaydah.org/,"256 Eddystone Avenue, North York, ON M3N 1H7",North York,Toronto,,,,Lakefield,Peterborough County
Agincourt Muslim Association,Ontario,https://agincourtma.org/,"3609B Sheppard Ave, Scarborough, ON",Scarborough,Toronto,,,,Port Elgin,Bruce County
Al Ansar Islamic Center,Ontario,https://www.alansarislamiccenter.com/,"43 Railside Rd, North York, ON M3A 3L9",North York,Toronto,,,,Port Perry,Durham Region
Al Bukhari Community Centre,Ontario,https://ajrcanada.com/,"1101 Finch Ave W, Unit 10, North York, ON M3J 3L6",North York,Toronto,,,,Sarnia,Lambton County
Al Falah Islamic Centre,Ontario,https://icna.website/alfalahcentre/,"391 Burnhamthorpe Rd E, Oakville, ON L6H 7B4",Oakville,Halton Region,,,,Amhertsburg,Essex County
Al Hassan Community Centre,Ontario,https://alhassan.ca/,"11655 McVean Dr, Unit 13, Brampton, ON",Brampton,Peel Region,,,,St. Thomas,Elgin County
Al Huda Institute Canada,Ontario,https://alhudainstitute.ca/,"5671 McAdam Road, Mississauga, ON L4Z 1N9",Mississauga,Peel Region,,,,Stratford,Perth County
Al Khalil Academy,Ontario,https://alkhalil.ca/,"43 Railside Rd, North York, ON M3A 3L9",North York,Toronto,,,,Thunder Bay,Thunder Bay District
Al Rayan Islamic Centre - Courtice Masjid,Ontario,https://www.alrayanislamiccentre.org/,"1660 Hwy 2, Courtice, ON L1E 2R6",Clarington,Durham Region,,,,Timmins,Cochrane District
Al Tawakkal Mosque,Ontario,,"1330 Gerrard St E, Toronto, ON M4L 1Z1, Canada",East York,Toronto,,,,Wilmot,Waterloo Region
Al-Arqam Islamic Centre,Ontario,https://alarqam.ad-din.site/,"1709 Harmony Rd N, Oshawa, ON L1K 0Z8",Oshawa,Durham Region,,,,REGION - Northwest Territories,
Al-Eman Islamic Centre of Canada INC.,Ontario,https://www.al-eman.ca/,"265 Enfield Pl #100D, Mississauga, ON L5B 3Y6",Mississauga,Peel Region,,,,Inuvik,Inuvik Region
Al-Firdous Islamic Centre,Ontario,https://alfirdous.ca/,"342A Marlee Ave, North York, ON M6B 3H8",North York,Toronto,,,,REGION - Newfoundland & Labrador,
"Al-Hijra Academy - Masjid And Islamic School, Preschool & Elementary School K-8",Ontario,http://alhijraacademy.com/,"5100 Howard Ave, Oldcastle, ON N9H 0M3",Tecumseh,Essex County,,,,Gander,Central Newfoundland
Al-Hikmah Centre,Ontario,https://alhikmahcenter.org/,"5650 Tomken Rd #16, Mississauga, ON L4W 4P1",Mississauga,Peel Region,,,,St. John’s,St. John’s Metropolitan Area
Al-Islah Islamic Center Brantford On,Ontario,,"200 Greenwich St, Brantford, ON N3S 2XD",,,,,,REGION - Nova Scotia,
Al-Misbah Islamic Centre,Ontario,https://amiccanada.ca/,"4383 Kingston Rd, Unit 2, Scarborough, ON M1E 2N2",Scarborough,Toronto,,,,Antigonish,Antigonish County
Al-Rashid Islamic Institute,Ontario,https://alrashid.ca/home,"18345 County Rd 2, RR 1, Cornwall, ON K6H 5R5",Cornwall,,,,,Sydney,Cape Breton Region
ALBER Mosque,Ontario,https://masjidalber.com/,"65 Ellis St E, Windsor, ON N8X 2G8, Canada",Windsor,Essex County,,,,Bedford,Halifax Region
AlFauz Musallah & Food Bank,Ontario,https://www.facebook.com/alfauzcentre,"156 Shorting Rd, Scarborough, ON M1S 3S6, Canada",Scarborough,Toronto,,,,Dartmouth,Halifax Region
Alqalam Islamic community Center,Ontario,https://alqalamcenter.org/,"2430 Dufferin Street, Toronto, ON M6E 3T1",North York,Toronto,,,,Halifax,Halifax Region
AlRisalah Islamic Centre,Ontario,,"1750A Victoria Park Ave, North York, ON M1R 1R4, Canada",North York,Toronto,,,,Wolfville,Kings County
Anatolia Islamic Centre North York (ICMG),Ontario,https://anatolianorthyork.ca/,"73 Alness St, North York, ON M3J 2H2",North York,Toronto,,,,Trenton,Pictou County
"Anatolia Islamic Centre, Mississauga",Ontario,https://anatoliacentre.ca/,"5280 Maingate Dr, Mississauga, ON L4W 1G5",Mississauga,Peel Region,,,,REGION - Québec,
